player,oreb,dreb,foul,stl,to,blk,asst,pts,dnp,fgm,fga,3pm,3pa,ftm,fta,game_date,location,opponent
 E. Dejesus,1,3,0,0,1,0,1,0,False,0,4,0,1,0,0,2026-01-23,home,Liberty
 H. Mollman,2,0,0,0,0,0,0,0,False,0,1,0,0,0,0,2026-01-23,home,Liberty
 J. Constantine,0,0,0,1,1,0,0,0,False,0,0,0,0,0,0,2026-01-23,home,Liberty
 B. Novotny,0,0,0,1,0,0,0,0,False,0,2,0,1,0,0,2026-01-23,home,Liberty
 B. Rankin,3,8,0,1,1,1,0,13,False,6,8,0,1,1,3,2026-02-02,home,SouthHagerstown
 C. Hall,0,1,0,4,7,0,0,10,False,4,12,1,7,1,4,2026-02-02,home,SouthHagerstown
 J. Abreu,2,4,0,1,3,0,3,6,False,2,10,0,4,2,2,2026-02-02,home,SouthHagerstown
 C. Yinger,2,1,0,2,2,0,2,6,False,1,7,1,4,3,4,2026-02-02,home,SouthHagerstown
 E. Rhyne,1,2,0,0,0,1,1,6,False,3,5,0,0,0,0,2026-02-02,home,SouthHagerstown
 E. Dejesus,0,3,0,1,2,0,0,6,False,2,3,0,1,2,2,2026-02-02,home,SouthHagerstown
 R. Messier,2,2,0,0,4,4,3,3,False,1,3,0,2,1,4,2026-02-02,home,SouthHagerstown
 N. Gabriel,0,1,0,1,3,0,2,0,False,0,0,0,0,0,0,2026-02-02,home,SouthHagerstown
 K. Johnson,0,0,0,0,2,0,0,0,False,0,0,0,0,0,0,2026-02-02,home,SouthHagerstown
 B. Novotny,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-02-02,home,SouthHagerstown
 H. Mollman,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-02-02,home,SouthHagerstown
 G. Tittle,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-02-02,home,SouthHagerstown
 D. Harris,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-02-02,home,SouthHagerstown
 G. Palazzo,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-02-02,home,SouthHagerstown
 O. Arceo,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-02-02,home,SouthHagerstown
 J. Constantine,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-02-02,home,SouthHagerstown
 C. Yinger,3,2,0,2,0,0,2,15,False,5,7,2,3,3,4,2026-02-03,away,MV
 C. Hall,4,3,0,6,2,0,5,13,False,5,17,2,4,1,5,2026-02-03,away,MV
 J. Abreu,0,5,0,2,1,0,2,9,False,3,15,2,9,1,2,2026-02-03,away,MV
 E. Rhyne,0,0,0,0,0,0,1,6,False,3,3,0,0,0,0,2026-02-03,away,MV
 R. Messier,1,2,0,0,1,1,2,5,False,2,4,1,2,0,0,2026-02-03,away,MV
